age;male_death_prob;male_survivor;male_life_expect;female_death_prob;female_survivor;female_life_expect
52;0.006016;91,243;27.99;0.003803;94,899;31.48
53;0.006575;90,694;27.16;0.004126;94,538;30.59
54;0.007170;90,098;26.34;0.004462;94,148;29.72
55;0.007805;89,452;25.52;0.004829;93,728;28.85
56;0.008477;88,754;24.72;0.005220;93,275;27.99
57;0.009181;88,001;23.93;0.005612;92,788;27.13
58;0.009916;87,193;23.15;0.006000;92,267;26.28
59;0.010683;86,329;22.37;0.006397;91,714;25.44
60;0.011533;85,407;21.61;0.006848;91,127;24.60
61;0.012434;84,422;20.85;0.007358;90,503;23.76
62;0.013302;83,372;20.11;0.007893;89,837;22.94
63;0.014109;82,263;19.37;0.008453;89,128;22.12
64;0.014913;81,102;18.65;0.009063;88,375;21.30
65;0.015808;79,893;17.92;0.009761;87,574;20.49
66;0.016868;78,630;17.20;0.010581;86,719;19.69
67;0.018101;77,303;16.49;0.011535;85,801;18.89
68;0.019544;75,904;15.78;0.012646;84,811;18.11
69;0.021206;74,421;15.09;0.013919;83,739;17.33
70;0.023122;72,843;14.40;0.015413;82,573;16.57
71;0.025265;71,158;13.73;0.017089;81,301;15.82
72;0.027585;69,360;13.07;0.018861;79,911;15.09
73;0.030070;67,447;12.43;0.020705;78,404;14.37
74;0.032794;65,419;11.80;0.022703;76,781;13.66
75;0.035963;63,274;11.18;0.025035;75,038;12.97
76;0.039588;60,998;10.58;0.027766;73,159;12.29
77;0.043511;58,583;10.00;0.030822;71,128;11.62
78;0.047720;56,034;9.43;0.034227;68,936;10.98
79;0.052358;53,360;8.88;0.038062;66,576;10.35
80;0.057712;50,567;8.34;0.042539;64,042;9.74
81;0.063886;47,648;7.82;0.047663;61,318;9.15
82;0.070782;44,604;7.32;0.053278;58,395;8.58
83;0.078442;41,447;6.84;0.059378;55,284;8.04
84;0.086997;38,196;6.38;0.066132;52,001;7.51
85;0.096603;34,873;5.94;0.073763;48,562;7.01
86;0.107390;31,504;5.52;0.082465;44,980;6.53
87;0.119456;28,121;5.12;0.092370;41,271;6.07
88;0.132853;24,762;4.75;0.103546;37,459;5.64
89;0.147599;21,472;4.40;0.115997;33,580;5.23
90;0.163689;18,303;4.08;0.129706;29,685;4.85
91;0.181104;15,307;3.78;0.144636;25,835;4.50
92;0.199810;12,535;3.50;0.160741;22,098;4.18
93;0.219765;10,030;3.25;0.177971;18,546;3.88
94;0.240913;7,826;3.03;0.196270;15,245;3.61
95;0.261868;5,941;2.83;0.214769;12,253;3.37
96;0.282225;4,385;2.66;0.233174;9,622;3.16
97;0.301555;3,147;2.51;0.251158;7,378;2.96
98;0.319421;2,198;2.37;0.268378;5,525;2.79
99;0.335392;1,496;2.25;0.284481;4,042;2.63
100;0.352162;994;2.13;0.301550;2,892;2.48
101;0.369770;644;2.02;0.319643;2,020;2.33
102;0.388259;406;1.91;0.338821;1,374;2.19
103;0.407672;248;1.81;0.359151;909;2.06
104;0.428055;147;1.71;0.380700;582;1.93
105;0.449458;84;1.61;0.403542;361;1.81
106;0.471931;46;1.52;0.427754;215;1.69
107;0.495527;24;1.43;0.453420;123;1.58
108;0.520304;12;1.35;0.480625;67;1.47
109;0.546319;6;1.27;0.509462;35;1.37
110;0.573635;3;1.19;0.540030;17;1.27
111;0.602317;1;1.11;0.572432;8;1.18
112;0.632432;0;1.04;0.606778;3;1.09
113;0.664054;0;0.97;0.643184;1;1.01
114;0.697257;0;0.91;0.681775;0;0.93
115;0.732119;0;0.84;0.722682;0;0.86
116;0.768725;0;0.78;0.766043;0;0.79
117;0.807162;0;0.73;0.807162;0;0.73
118;0.847520;0;0.67;0.847520;0;0.67
119;0.889896;0;0.62;0.889896;0;0.62
